index	artist	title	year	Medium	Dimensions	Credit	Object number	Copyright	Department	Manufacturer	Collaborating artist	Model maker	Printer	Engineer	Fabricator	Delineator	Publisher	Edition	Type	Portfolio
10	Le Corbusier (Charles-Édouard Jeanneret)	"""Ceci n'est pas l'architecture"" Drawing from Buenos Aires Lecture"	1929	Charcoal and crayon on paper	"39 3/4 x 25 9/16"" (101 x 65 cm)"	Gift of Agnes Gund in honor of Patricia Phelps de Cisneros	863.2007	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Architecture and Design											
11	Le Corbusier (Charles-Édouard Jeanneret), Pierre Jeanneret	Villa Savoye, Poissy-sur-Seine, France	1932	Wood, aluminum, and plastic	"16 x 34 x 32"" (40.6 x 86.4 x 81.3 cm)"	Purchase	MC 7	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Architecture and Design		with Pierre Jeanneret	Le Corbusier (Charles-Édouard Jeanneret), Theodore Conrad								
12	Le Corbusier (Charles-Édouard Jeanneret), Pierre Jeanneret	Palace of the Soviets, Moscow	1932	Wood, paint, metal, plastic, and glass	"14 x 33 1/2 x 67"" (35.6 x 85.1 x 170.2 cm)"	Special Purchase Fund, 1941	MC 16	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Architecture and Design		with Pierre Jeanneret									
13	Le Corbusier (Charles-Édouard Jeanneret), Pierre Jeanneret	Swiss Pavilion, Cité internationale universitaire de Paris, Paris, France, Side elevation	1932	Airbrush on lithograph	"16 x 36 7/8"" (40.6 x 93.7 cm)"	Purchase	SC150.1947	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Architecture and Design											
14	Le Corbusier (Charles-Édouard Jeanneret), Pierre Jeanneret	Swiss Pavilion, Cité internationale universitaire de Paris, France, Perspective of north and west elevations	1932	Airbrush on lithograph	"26 1/8 x 44 1/4"" (66.4 x 112.4 cm)"	Purchase	SC151.1947	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Architecture and Design											
15	Le Corbusier (Charles-Édouard Jeanneret), Pierre Jeanneret	Swiss Pavilion, Cité Universitaire, Paris, France	1930	Acrylic	"21 1/4 x 48 3/16 x 36 1/8"" (54 x 122.4 x 91.8 cm)"	Given in honor of Arthur Drexler by Sydney and Frances Lewis, Richmond, Virginia	230.1987	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Architecture and Design		Pierre Jeanneret	Paul Bonfilio								
16	Le Corbusier (Charles-Édouard Jeanneret)	Plans for Algiers and Barcelona and “cité-jardin verticale” (vertical garden city) drawing made during a lecture in Chicago November 27, 1935	1935	Pastel on paper	"Sheet: 39 3/4 x 109 1/2"" (101 x 278.1cm)
Frame: 43 3/8 x 112 7/8"" (110.2 x 286.7 cm)"	Gift of Robert A. Jacobs	1602.2000	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Architecture and Design											
17	Le Corbusier (Charles-Édouard Jeanneret)	Le Corbusier, Oeuvre Plastique 1919-1937	1937	Lithograph	"39 3/8 x 27 3/4"" (100 x 70.3 cm)"	Gift of the artist	159.1952	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Architecture and Design				J. C. Müller A.G., Zürich							
18	Le Corbusier (Charles-Édouard Jeanneret)	Tableaux et Architecture - Exhibition at Kunsthaus Zürich	1938	Lithograph		Gift of Henry G. Proskauer	46.1948	© 2020 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC	Architecture and Design											
19	Le Corbusier (Charles-Édouard Jeanneret)	Le Corbusier letterhead	1938	Letterpress	"10 5/8 × 8 1/4"" (27 × 21 cm)"	Elaine Lustig Cohen Collection, gift of Lawrence Benenson and the Committee on Architecture and Design Funds	1229.2015		Architecture and Design											
